Plugin ID;CVE;CVSS;Risk;Host;Protocol;Port;Name;Synopsis;Description;Solution;See Also;Plugin Output;STIG Severity;CVSS v3.0 Base Score;CVSS Temporal Score;CVSS v3.0 Temporal Score;Risk Factor;BID;XREF;MSKB;Plugin Publication Date;Plugin Modification Date;Metasploit;Core Impact;CANVAS
The remote FTP banner is :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
220 ProFTPD 1.3.1 Server (Debian) [::ffff:10.0.2.6];;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;12/10/1999;22/11/2019;;;;;;;;;;;;;;;;;
10107;;;None;10.0.2.6;tcp;80;HTTP Server Type and Version;A web server is running on the remote host.;This plugin attempts to determine the type and the version of the;;;;;;;;;;;;;;;;
"  remote web server.""";n/a;;The remote web server type is :;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
"Apache/2.2.8 (Ubuntu) DAV/2""";;;;;None;;;;04/01/2000;12/06/2020;;;;;;;;;;;;;;;
10107;;;None;10.0.2.6;tcp;8180;HTTP Server Type and Version;A web server is running on the remote host.;This plugin attempts to determine the type and the version of the;;;;;;;;;;;;;;;;
"  remote web server.""";n/a;;The remote web server type is :;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
"Apache-Coyote/1.1""";;;;;None;;;;04/01/2000;12/06/2020;;;;;;;;;;;;;;;
10114;CVE-1999-0524;0.0;None;10.0.2.6;icmp;0;ICMP Timestamp Request Remote Date Disclosure;It is possible to determine the exact time set on the remote host.;The remote host answers to an ICMP timestamp request.  This allows an;;;;;;;;;;;;;;;;
attacker to know the date that is set on the targeted machine; which;;;;;;;;;;;;;;;;;;;;;;;;
may assist an unauthenticated; remote attacker in defeating time-based;;;;;;;;;;;;;;;;;;;;;;;;
authentication protocols.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Timestamps returned from machines running Windows Vista / 7 / 2008 /;;;;;;;;;;;;;;;;;;;;;;;;;
2008 R2 are deliberately incorrect; but usually within 1000 seconds of;;;;;;;;;;;;;;;;;;;;;;;;
"the actual system time.""";Filter out the ICMP timestamp requests (13), and the outgoing ICMP;;;;;;;;;;;;;;;;;;;;;;;;
"timestamp replies (14).""";;The difference between the local and remote clocks is 1 second.;;;;;;;;;;;;;;;;;;;;;;;
;,0.0;;;None;;CWE:200;;01/08/1999;04/10/2019;;;;;;;;;;;;;;;;
10150;;;None;10.0.2.6;udp;137;Windows NetBIOS / SMB Remote Host Information Disclosure;It was possible to obtain the network name of the remote host.;The remote host is listening on UDP port 137 or TCP port 445, and;;;;;;;;;;;;;;;;
replies to NetBIOS nbtscan or SMB requests.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Note that this plugin gathers information to be used in other plugins;;;;;;;;;;;;;;;;;;;;;;;;;
"but does not itself generate a report.""";n/a;;The following 7 NetBIOS names have been gathered :;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
 METASPLOITABLE   = Computer name;;;;;;;;;;;;;;;;;;;;;;;;;
 METASPLOITABLE   = Messenger Service;;;;;;;;;;;;;;;;;;;;;;;;;
 METASPLOITABLE   = File Server Service;;;;;;;;;;;;;;;;;;;;;;;;;
 __MSBROWSE__     = Master Browser;;;;;;;;;;;;;;;;;;;;;;;;;
 WORKGROUP        = Workgroup / Domain name;;;;;;;;;;;;;;;;;;;;;;;;;
 WORKGROUP        = Master Browser;;;;;;;;;;;;;;;;;;;;;;;;;
 WORKGROUP        = Browser Service Elections;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
"This SMB server seems to be a Samba server - its MAC address is NULL.""";;;;;None;;;;12/10/1999;14/05/2020;;;;;;;;;;;;;;;
10203;CVE-1999-0618;10.0;Critical;10.0.2.6;tcp;512;rexecd Service Detection;The rexecd service is running on the remote host.;The rexecd service is running on the remote host. This service is;;;;;;;;;;;;;;;;
design to allow users of a network to execute commands remotely.;;;;;;;;;;;;;;;;;;;;;;;;;
However; rexecd does not provide any good means of authentication; so;;;;;;;;;;;;;;;;;;;;;;;
"it may be abused by an attacker to scan a third-party host.""";Comment out the 'exec' line in /etc/inetd.conf and restart the inetd;;;;;;;;;;;;;;;;;;;;;;;;
"process.""";;;;;;;Critical;;;;31/08/1999;13/08/2018;;;;;;;;;;;;;
10205;CVE-1999-0651;7.5;High;10.0.2.6;tcp;513;rlogin Service Detection;The rlogin service is running on the remote host.;The rlogin service is running on the remote host. This service is;;;;;;;;;;;;;;;;
vulnerable since data is passed between the rlogin client and server;;;;;;;;;;;;;;;;;;;;;;;;;
in cleartext. A man-in-the-middle attacker can exploit this to sniff;;;;;;;;;;;;;;;;;;;;;;;;;
logins and passwords. Also; it may allow poorly authenticated logins;;;;;;;;;;;;;;;;;;;;;;;;
without passwords. If the host is vulnerable to TCP sequence number;;;;;;;;;;;;;;;;;;;;;;;;;
guessing (from any network) or IP spoofing (including ARP hijacking on;;;;;;;;;;;;;;;;;;;;;;;;;
a local network) then it may be possible to bypass authentication.;;;;;;;;;;;;;;;;;;;;;;;;;
Finally; rlogin is an easy way to turn file-write access into full;;;;;;;;;;;;;;;;;;;;;;;;
"logins through the .rhosts or rhosts.equiv files.""";Comment out the 'login' line in /etc/inetd.conf and restart the inetd;;;;;;;;;;;;;;;;;;;;;;;;
process. Alternatively;" disable this service and use SSH instead.""";;;;;;;High;;;;30/08/1999;13/08/2018;true;;;;;;;;;;;
10223;CVE-1999-0632;0.0;None;10.0.2.6;udp;111;RPC portmapper Service Detection;An ONC RPC portmapper is running on the remote host.;The RPC portmapper is running on this port.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
The portmapper allows someone to get the port number of each RPC;;;;;;;;;;;;;;;;;;;;;;;;;
service running on the remote host by sending either multiple lookup;;;;;;;;;;;;;;;;;;;;;;;;;
"requests or a DUMP request.""";n/a;;;;0.0;;;None;;;;19/08/1999;04/10/2019;;;;;;;;;;;;
10263;;;None;10.0.2.6;tcp;25;SMTP Server Detection;An SMTP server is listening on the remote port.;The remote host is running a mail (SMTP) server on this port. ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Since SMTP servers are the targets of spammers; it is recommended you;;;;;;;;;;;;;;;;;;;;;;;;
"disable it if you do not use it.""";Disable this service if you do not use it, or filter incoming traffic;;;;;;;;;;;;;;;;;;;;;;;;
"to this port.""";;;;;;;;;;;;;;;;;;;;;;;;;
Remote SMTP server banner :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
220 metasploitable.localdomain ESMTP Postfix (Ubuntu);;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;12/10/1999;22/11/2019;;;;;;;;;;;;;;;;;
10267;;;None;10.0.2.6;tcp;22;SSH Server Type and Version Information;An SSH server is listening on this port.;It is possible to obtain information about the remote SSH server by;;;;;;;;;;;;;;;;
"sending an empty authentication request.""";n/a;;;;;;;;;;;;;;;;;;;;;;;;
SSH version : SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1;;;;;;;;;;;;;;;;;;;;;;;;;
SSH supported authentication : publickey;password;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;12/10/1999;12/06/2020;;;;;;;;;;;;;;;;;
10281;;;None;10.0.2.6;tcp;23;Telnet Server Detection;A Telnet server is listening on the remote port.;The remote host is running a Telnet server, a remote terminal;;;;;;;;;;;;;;;;
"server.""";Disable this service if you do not use it.;;Here is the banner from the remote Telnet server :;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
------------------------------ snip ------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;
                _                  _       _ _        _     _      ____  ;;;;;;;;;;;;;;;;;;;;;;;;;
 _ __ ___   ___| |_ __ _ ___ _ __ | | ___ (_) |_ __ _| |__ | | ___|___ \ ;;;;;;;;;;;;;;;;;;;;;;;;;
| '_ ` _ \ / _ \ __/ _` / __| '_ \| |/ _ \| | __/ _` | '_ \| |/ _ \ __) |;;;;;;;;;;;;;;;;;;;;;;;;;
| | | | | |  __/ || (_| \__ \ |_) | | (_) | | || (_| | |_) | |  __// __/ ;;;;;;;;;;;;;;;;;;;;;;;;;
|_| |_| |_|\___|\__\__;_|___/ .__/|_|\___/|_|\__\__;_|_.__/|_|\___|_____|;;;;;;;;;;;;;;;;;;;;;;;
                            |_|                                          ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Warning: Never expose this VM to an untrusted network!;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Contact: msfdev[at]metasploit.com;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Login with msfadmin/msfadmin to get started;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
metasploitable login: ;;;;;;;;;;;;;;;;;;;;;;;;;
------------------------------ snip ------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;12/10/1999;12/06/2020;;;;;;;;;;;;;;;;;
10287;;;None;10.0.2.6;udp;0;Traceroute Information;It was possible to obtain traceroute information.;Makes a traceroute to the remote host.;n/a;;For your information, here is the traceroute from 10.0.2.4 to 10.0.2.6 : ;;;;;;;;;;;;;
10.0.2.4;;;;;;;;;;;;;;;;;;;;;;;;;
10.0.2.6;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Hop Count: 1;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;27/11/1999;06/03/2019;;;;;;;;;;;;;;;;;
10342;;;None;10.0.2.6;tcp;5900;VNC Software Detection;The remote host is running a remote display software (VNC).;The remote host is running VNC (Virtual Network Computing), which uses;;;;;;;;;;;;;;;;
the RFB (Remote Framebuffer) protocol to provide remote access to;;;;;;;;;;;;;;;;;;;;;;;;;
graphical user interfaces and thus permits a console on the remote;;;;;;;;;;;;;;;;;;;;;;;;;
"host to be displayed on another.""";Make sure use of this software is done in accordance with your;;;;;;;;;;;;;;;;;;;;;;;;
organization's security policy and filter incoming traffic to this;;;;;;;;;;;;;;;;;;;;;;;;;
"port.""";https://en.wikipedia.org/wiki/Vnc;;;;;;;;;;;;;;;;;;;;;;;;
The highest RFB protocol version supported by the server is :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
  3.3;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;07/03/2000;12/06/2017;;;;;;;;;;;;;;;;;
10394;;;None;10.0.2.6;tcp;445;Microsoft Windows SMB Log In Possible;It was possible to log into the remote host.;The remote host is running a Microsoft Windows operating system or;;;;;;;;;;;;;;;;
Samba; a CIFS/SMB server for Unix. It was possible to log into it;;;;;;;;;;;;;;;;;;;;;;;;
using one of the following accounts :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;;
#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;;
"- Supplied credentials""";n/a;http://www.nessus.org/u?5c2589f6;;;;;;;;;;;;;;;;;;;;;;;
"https://support.microsoft.com/en-us/help/246261""";#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;09/05/2000;09/03/2020;;;;;;;;;;;;;;;;;
10397;;;None;10.0.2.6;tcp;445;Microsoft Windows SMB LanMan Pipe Server Listing Disclosure;It is possible to obtain network information.;It was possible to obtain the browse list of the remote Windows system;;;;;;;;;;;;;;;;
by sending a request to the LANMAN pipe. The browse list is the list;;;;;;;;;;;;;;;;;;;;;;;;;
"of the nearest Windows systems of the remote host.""";n/a;;;;;;;;;;;;;;;;;;;;;;;;
Here is the browse list of the remote host : ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
METASPLOITABLE ( os : 0.0 );;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;09/05/2000;22/11/2019;;;;;;;;;;;;;;;;;
10407;;2.6;Low;10.0.2.6;tcp;6000;X Server Detection;An X11 server is listening on the remote host;The remote host is running an X11 server.  X11 is a client-server;;;;;;;;;;;;;;;;
protocol that can be used to display graphical applications running on;;;;;;;;;;;;;;;;;;;;;;;;;
a given host on a remote client. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Since the X11 traffic is not ciphered; it is possible for an attacker;;;;;;;;;;;;;;;;;;;;;;;;
"to eavesdrop on the connection.""";Restrict access to this port. If the X11 client/server facility is not;;;;;;;;;;;;;;;;;;;;;;;;
used;" disable TCP support in X11 entirely (-nolisten tcp).""";;;;;;;;;;;;;;;;;;;;;;;;
X11 Version : 11.0;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"Low""";;;;12/05/2000;05/03/2019;;;;;;;;;;;;;;;;;
10437;;;None;10.0.2.6;tcp;2049;NFS Share Export List;The remote NFS server exports a list of shares.;This plugin retrieves the list of NFS exported shares.;Ensure each share is intended to be exported.;http://www.tldp.org/HOWTO/NFS-HOWTO/security.html;;;;;;;;;;;;;;
Here is the export list of 10.0.2.6 :;;;;;;;;;;;;;;;;;;;;;;;;;
  ;;;;;;;;;;;;;;;;;;;;;;;;;
  / *;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;07/06/2000;04/10/2019;;;;;;;;;;;;;;;;;
10719;;;None;10.0.2.6;tcp;3306;MySQL Server Detection;A database server is listening on the remote port.;The remote host is running MySQL, an open source database server.;n/a;;;;;;;;;;;;;;;
Version  : 5.0.51a-3ubuntu5;;;;;;;;;;;;;;;;;;;;;;;;;
Protocol : 10;;;;;;;;;;;;;;;;;;;;;;;;;
Server Status : SERVER_STATUS_AUTOCOMMIT;;;;;;;;;;;;;;;;;;;;;;;;;
Server Capabilities : ;;;;;;;;;;;;;;;;;;;;;;;;;
  CLIENT_LONG_FLAG (Get all column flags);;;;;;;;;;;;;;;;;;;;;;;;;
  CLIENT_CONNECT_WITH_DB (One can specify db on connect);;;;;;;;;;;;;;;;;;;;;;;;;
  CLIENT_COMPRESS (Can use compression protocol);;;;;;;;;;;;;;;;;;;;;;;;;
  CLIENT_PROTOCOL_41 (New 4.1 protocol);;;;;;;;;;;;;;;;;;;;;;;;;
  CLIENT_SSL (Switch to SSL after handshake);;;;;;;;;;;;;;;;;;;;;;;;;
  CLIENT_TRANSACTIONS (Client knows about transactions);;;;;;;;;;;;;;;;;;;;;;;;;
  CLIENT_SECURE_CONNECTION (New 4.1 authentication);;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;13/08/2001;22/11/2019;;;;;;;;;;;;;;;;;
10785;;;None;10.0.2.6;tcp;445;Microsoft Windows SMB NativeLanManager Remote System Information Disclosure;It was possible to obtain information about the remote operating;;;;;;;;;;;;;;;;;
"system.""";Nessus was able to obtain the remote operating system name and version;;;;;;;;;;;;;;;;;;;;;;;;
(Windows and/or Samba) by sending an authentication request to port;;;;;;;;;;;;;;;;;;;;;;;;;
139 or 445. Note that this plugin requires SMB1 to be enabled on the;;;;;;;;;;;;;;;;;;;;;;;;;
"host.""";n/a;;The remote Operating System is : Unix;;;;;;;;;;;;;;;;;;;;;;
The remote native LAN manager is : Samba 3.0.20-Debian;;;;;;;;;;;;;;;;;;;;;;;;;
The remote SMB Domain Name is : METASPLOITABLE;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;17/10/2001;22/01/2020;;;;;;;;;;;;;;;;;
10863;;;None;10.0.2.6;tcp;25;SSL Certificate Information;This plugin displays the SSL certificate.;This plugin connects to every SSL-related port and attempts to ;;;;;;;;;;;;;;;;
"extract and dump the X.509 certificate.""";n/a;;Subject Name: ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Country: XX;;;;;;;;;;;;;;;;;;;;;;;;;
State/Province: There is no such thing outside US;;;;;;;;;;;;;;;;;;;;;;;;;
Locality: Everywhere;;;;;;;;;;;;;;;;;;;;;;;;;
Organization: OCOSA;;;;;;;;;;;;;;;;;;;;;;;;;
Organization Unit: Office for Complication of Otherwise Simple Affairs;;;;;;;;;;;;;;;;;;;;;;;;;
Common Name: ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
Email Address: root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Issuer Name: ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Country: XX;;;;;;;;;;;;;;;;;;;;;;;;;
State/Province: There is no such thing outside US;;;;;;;;;;;;;;;;;;;;;;;;;
Locality: Everywhere;;;;;;;;;;;;;;;;;;;;;;;;;
Organization: OCOSA;;;;;;;;;;;;;;;;;;;;;;;;;
Organization Unit: Office for Complication of Otherwise Simple Affairs;;;;;;;;;;;;;;;;;;;;;;;;;
Common Name: ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
Email Address: root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Serial Number: 00 FA F9 3A 4C 7F B6 B9 CC ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Version: 1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Signature Algorithm: SHA-1 With RSA Encryption;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Not Valid Before: Mar 17 14:07:45 2010 GMT;;;;;;;;;;;;;;;;;;;;;;;;;
Not Valid After: Apr 16 14:07:45 2010 GMT;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Public Key Info: ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Algorithm: RSA Encryption;;;;;;;;;;;;;;;;;;;;;;;;;
Key Length: 1024 bits;;;;;;;;;;;;;;;;;;;;;;;;;
Public Key: 00 D6 B4 13 36 33 9A 95 71 7B 1B DE 7C 83 75 DA 71 B1 3C A9 ;;;;;;;;;;;;;;;;;;;;;;;;;
            7F FE AD 64 1B 77 E9 4F AE BE CA D4 F8 CB EF AE BB 43 79 24 ;;;;;;;;;;;;;;;;;;;;;;;;;
            73 FF 3C E5 9E 3B 6D FC C8 B1 AC FA 4C 4D 5E 9B 4C 99 54 0B ;;;;;;;;;;;;;;;;;;;;;;;;;
            D7 A8 4A 50 BA A9 DE 1D 1F F4 E4 6B 02 A3 F4 6B 45 CD 4C AF ;;;;;;;;;;;;;;;;;;;;;;;;;
            8D 89 62 33 8F 65 BB 36 61 9F C4 2C 73 C1 4E 2E A0 A8 14 4E ;;;;;;;;;;;;;;;;;;;;;;;;;
            98 70 46 61 BB D1 B9 31 DF 8C 99 EE 75 6B 79 3C 40 A0 AE 97 ;;;;;;;;;;;;;;;;;;;;;;;;;
            00 90 9D DC 99 0D 33 A4 B5 ;;;;;;;;;;;;;;;;;;;;;;;;;
Exponent: 01 00 01 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Signature Length: 128 bytes / 1024 bits;;;;;;;;;;;;;;;;;;;;;;;;;
Signature: 00 92 A4 B4 B8 14 55 63 25 51 4A 0B C3 2A 22 CF 3A F8 17 6A ;;;;;;;;;;;;;;;;;;;;;;;;;
           0C CF 66 AA A7 65 2F 48 6D CD E3 3E 5C 9F 77 6C D4 44 54 1F ;;;;;;;;;;;;;;;;;;;;;;;;;
           1E 84 4F 8E D4 8D DD AC 2D 88 09 21 A8 DA 56 2C A9 05 3C 49 ;;;;;;;;;;;;;;;;;;;;;;;;;
           68 35 19 75 0C DA 53 23 88 88 19 2D 74 26 C1 22 65 EE 11 68 ;;;;;;;;;;;;;;;;;;;;;;;;;
           83 6A 53 4A 9C 27 CB A0 B4 E9 8D 29 0C B2 3C 18 5C 67 CC 53 ;;;;;;;;;;;;;;;;;;;;;;;;;
           A6 1E 30 D0 AA 26 7B 1E AE 40 B9 29 01 6C 2E BC A2 19 94 7C ;;;;;;;;;;;;;;;;;;;;;;;;;
           15 6E 8D 30 38 F6 CA 2E 75 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Fingerprints : ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
SHA-256 Fingerprint: E7 A7 FA 0D 63 E4 57 C7 C4 A5 9B 38 B7 08 49 C6 A7 0B DA 6F ;;;;;;;;;;;;;;;;;;;;;;;;;
                     83 0C 7A F1 E3 2D EE 43 6D E8 13 CC ;;;;;;;;;;;;;;;;;;;;;;;;;
SHA-1 Fingerprint: ED 09 30 88 70 66 03 BF D5 DC 23 73 99 B4 98 DA 2D 4D 31 C6 ;;;;;;;;;;;;;;;;;;;;;;;;;
MD5 Fingerprint: DC D9 AD 90 6C 8F 2F 73 74 AF 38 3B 25 40 88 28 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
PEM certificate : ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
-----BEGIN CERTIFICATE-----;;;;;;;;;;;;;;;;;;;;;;;;;
MIIDWzCCAsQCCQD6+TpMf7a5zDANBgkqhkiG9w0BAQUFADCB8TELMAkGA1UEBhMCWFgxKjAoBgNVBAgTIVRoZXJlIGlzIG5vIHN1Y2ggdGhpbmcgb3V0c2lkZSBVUzETMBEGA1UEBxMKRXZlcnl3aGVyZTEOMAwGA1UEChMFT0NPU0ExPDA6BgNVBAsTM09mZmljZSBmb3IgQ29tcGxpY2F0aW9uIG9mIE90aGVyd2lzZSBTaW1wbGUgQWZmYWlyczEjMCEGA1UEAxMadWJ1bnR1ODA0LWJhc2UubG9jYWxkb21haW4xLjAsBgkqhkiG9w0BCQEWH3Jvb3RAdWJ1bnR1ODA0LWJhc2UubG9jYWxkb21haW4wHhcNMTAwMzE3MTQwNzQ1WhcNMTAwNDE2MTQwNzQ1WjCB8TELMAkGA1UEBhMCWFgxKjAoBgNVBAgTIVRoZXJlIGlzIG5vIHN1Y2ggdGhpbmcgb3V0c2lkZSBVUzETMBEGA1UEBxMKRXZlcnl3aGVyZTEOMAwGA1UEChMFT0NPU0ExPDA6BgNVBAsTM09mZmljZSBmb3IgQ29tcGxpY2F0aW9uIG9mIE90aGVyd2lzZSBTaW1wbGUgQWZmYWlyczEjMCEGA1UEAxMadWJ1bnR1ODA0LWJhc2UubG9jYWxkb21haW4xLjAsBgkqhkiG9w0BCQEWH3Jvb3RAdWJ1bnR1ODA0LWJhc2UubG9jYWxkb21haW4wgZ8wDQYJKoZIhvcNAQEBBQADgY0AMIGJAoGBANa0EzYzmpVxexvefIN12nGxPKl//q1kG3fpT66+ytT4y++uu0N5JHP/POWeO238yLGs+kxNXptMmVQL16hKULqp3h0f9ORrAqP0a0XNTK+NiWIzj2W7NmGfxCxzwU4uoKgUTphwRmG70bkx34yZ7nVreTxAoK6XAJCd3JkNM6S1AgMBAAEwDQYJKoZIhvcNAQEFBQADgYEAkqS0uBRVYyVRSgvDKiLPOvgXagzPZqqnZS9Ibc3jPlyfd2zURFQfHoRPjtSN3awtiAkhqNpWLKkFPEloNRl1DNpTI4iIGS10JsEiZe4RaINqU0qcJ8ugtOmNKQyyPBhcZ8xTph4w0Komex6uQLkpAWwuvKIZlHwVbo0wOPbKLnU=;;;;;;;;;;;;;;;;;;;;;;;;;
"-----END CERTIFICATE-----""";;;;;None;;;;19/05/2008;17/06/2020;;;;;;;;;;;;;;;
10863;;;None;10.0.2.6;tcp;5432;SSL Certificate Information;This plugin displays the SSL certificate.;This plugin connects to every SSL-related port and attempts to ;;;;;;;;;;;;;;;;
"extract and dump the X.509 certificate.""";n/a;;Subject Name: ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Country: XX;;;;;;;;;;;;;;;;;;;;;;;;;
State/Province: There is no such thing outside US;;;;;;;;;;;;;;;;;;;;;;;;;
Locality: Everywhere;;;;;;;;;;;;;;;;;;;;;;;;;
Organization: OCOSA;;;;;;;;;;;;;;;;;;;;;;;;;
Organization Unit: Office for Complication of Otherwise Simple Affairs;;;;;;;;;;;;;;;;;;;;;;;;;
Common Name: ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
Email Address: root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Issuer Name: ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Country: XX;;;;;;;;;;;;;;;;;;;;;;;;;
State/Province: There is no such thing outside US;;;;;;;;;;;;;;;;;;;;;;;;;
Locality: Everywhere;;;;;;;;;;;;;;;;;;;;;;;;;
Organization: OCOSA;;;;;;;;;;;;;;;;;;;;;;;;;
