,No.,Time,Source,Destination,Protocol,Length,Info
62,63,0.7524921090000001,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1052 Ack=4236 Win=62780 Len=0
63,64,0.7609697329999999,10.0.2.8,80.58.61.250,DNS,69,Standard query 0x54b0 A owasp.org
64,65,0.760992175,10.0.2.8,80.58.61.250,DNS,69,Standard query 0xa7b3 AAAA owasp.org
65,66,0.7692817759999999,80.58.61.250,10.0.2.8,DNS,117,Standard query response 0x54b0 A owasp.org A 104.22.27.77 A 104.22.26.77 A 172.67.10.39
66,67,0.769446075,80.58.61.250,10.0.2.8,DNS,153,Standard query response 0xa7b3 AAAA owasp.org AAAA 2606:4700:10::6816:1a4d AAAA 2606:4700:10::ac43:a27 AAAA 2606:4700:10::6816:1b4d
67,68,0.7731704420000001,10.0.2.8,104.22.27.77,TLSv1.3,181,Application Data
68,69,0.773246445,10.0.2.8,104.22.27.77,TCP,74,55700  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=278343876 TSecr=0 WS=128
69,70,0.784234878,104.22.27.77,10.0.2.8,TCP,60,"443  >  55700 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
70,71,0.784262197,10.0.2.8,104.22.27.77,TCP,54,55700  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
71,72,0.7863611009999999,10.0.2.8,104.22.27.77,TLSv1.3,571,Client Hello
72,73,0.797318138,104.22.27.77,10.0.2.8,TLSv1.3,1514,"Server Hello, Change Cipher Spec"
73,74,0.797344449,10.0.2.8,104.22.27.77,TCP,54,55700  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0
74,75,0.797721172,104.22.27.77,10.0.2.8,TLSv1.3,1376,Application Data
75,76,0.7977298490000001,10.0.2.8,104.22.27.77,TCP,54,55700  >  443 [ACK] Seq=518 Ack=2783 Win=62780 Len=0
76,77,0.804010053,10.0.2.8,104.22.27.77,TLSv1.3,118,"Change Cipher Spec, Application Data"
77,78,0.804334124,10.0.2.8,104.22.27.77,TLSv1.3,241,Application Data
78,79,0.804702426,104.22.27.77,10.0.2.8,TCP,60,443  >  55700 [ACK] Seq=2783 Ack=769 Win=32000 Len=0
79,80,0.807564657,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=4236 Ack=1179 Win=31590 Len=0
80,81,0.816500592,104.22.27.77,10.0.2.8,TLSv1.3,575,"Application Data, Application Data"
81,82,0.8165140590000001,10.0.2.8,104.22.27.77,TCP,54,55700  >  443 [ACK] Seq=769 Ack=3304 Win=62780 Len=0
82,83,0.8168324459999999,10.0.2.8,104.22.27.77,TLSv1.3,78,Application Data
83,84,0.81688032,10.0.2.8,104.22.27.77,TCP,54,"55700  >  443 [FIN, ACK] Seq=793 Ack=3304 Win=62780 Len=0"
84,85,0.817267278,104.22.27.77,10.0.2.8,TCP,60,443  >  55700 [ACK] Seq=3304 Ack=794 Win=31975 Len=0
85,86,0.8271273729999999,104.22.27.77,10.0.2.8,TCP,60,"443  >  55700 [FIN, ACK] Seq=3304 Ack=794 Win=31975 Len=0"
86,87,0.827145522,10.0.2.8,104.22.27.77,TCP,54,55700  >  443 [ACK] Seq=794 Ack=3305 Win=62780 Len=0
87,88,0.9524696229999999,104.22.27.77,10.0.2.8,TLSv1.3,208,Application Data
88,89,0.958604847,10.0.2.8,104.22.27.77,TLSv1.3,132,Application Data
89,90,1.001242128,104.22.27.77,10.0.2.8,TLSv1.3,510,"Application Data, Application Data"
90,91,1.002172106,104.22.27.77,10.0.2.8,TLSv1.3,1514,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
91,92,1.002185227,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1257 Ack=6306 Win=62780 Len=0
92,93,1.0024725509999999,104.22.27.77,10.0.2.8,TLSv1.3,127,Application Data
93,94,1.003364602,104.22.27.77,10.0.2.8,TLSv1.3,4434,"Application Data, Application Data, Application Data, Application Data"
94,95,1.003462528,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1257 Ack=10759 Win=61320 Len=0
95,96,1.003750098,104.22.27.77,10.0.2.8,TLSv1.3,1235,"Application Data, Application Data"
96,97,1.0042603909999999,104.22.27.77,10.0.2.8,TLSv1.3,1514,Application Data
97,98,1.004269529,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1257 Ack=13400 Win=62780 Len=0
98,99,1.0046176629999999,104.22.27.77,10.0.2.8,TLSv1.3,1376,Application Data
99,100,1.0056979990000001,104.22.27.77,10.0.2.8,TLSv1.3,10274,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
100,101,1.0058343159999998,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1257 Ack=24942 Win=58400 Len=0
101,102,1.0061750459999999,104.22.27.77,10.0.2.8,TLSv1.3,802,Application Data
102,103,1.050673375,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1257 Ack=25690 Win=62780 Len=0
103,104,1.051113149,104.22.27.77,10.0.2.8,TLSv1.3,117,"Application Data, Application Data"
104,105,1.0511384609999999,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1257 Ack=25753 Win=62780 Len=0
105,106,1.057349714,10.0.2.8,104.22.27.77,TLSv1.3,188,Application Data
106,107,1.06018716,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=25753 Ack=1391 Win=31378 Len=0
107,108,1.060594125,10.0.2.8,104.22.27.77,TLSv1.3,143,Application Data
108,109,1.060892954,10.0.2.8,104.22.27.77,TLSv1.3,158,Application Data
109,110,1.06112961,10.0.2.8,104.22.27.77,TLSv1.3,149,Application Data
110,111,1.061286844,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=25753 Ack=1584 Win=32768 Len=0
111,112,1.061401858,10.0.2.8,104.22.27.77,TLSv1.3,139,Application Data
112,113,1.061638537,10.0.2.8,104.22.27.77,TLSv1.3,143,Application Data
113,114,1.061706978,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=25753 Ack=1764 Win=32588 Len=0
114,115,1.061759812,10.0.2.8,104.22.27.77,TLSv1.3,143,Application Data
115,116,1.061961772,10.0.2.8,104.22.27.77,TLSv1.3,144,Application Data
116,117,1.061986092,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=25753 Ack=1942 Win=32410 Len=0
117,118,1.062252457,10.0.2.8,80.58.61.250,DNS,77,Standard query 0xac4c A buttons.github.io
118,119,1.062265071,10.0.2.8,80.58.61.250,DNS,77,Standard query 0x7249 AAAA buttons.github.io
119,120,1.066307295,104.22.27.77,10.0.2.8,TLSv1.3,1514,Application Data
120,121,1.078038129,10.0.2.8,104.22.27.77,TLSv1.3,148,Application Data
121,122,1.078707492,104.22.27.77,10.0.2.8,TLSv1.3,540,"Application Data, Application Data"
122,123,1.07880488,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2126 Ack=27699 Win=62780 Len=0
123,124,1.079378905,10.0.2.8,104.22.27.77,TLSv1.3,159,Application Data
124,125,1.084412108,104.22.27.77,10.0.2.8,TLSv1.3,956,"Application Data, Application Data"
125,126,1.100529157,80.58.61.250,10.0.2.8,DNS,142,Standard query response 0x7249 AAAA buttons.github.io SOA dns1.p05.nsone.net
126,127,1.101079106,80.58.61.250,10.0.2.8,DNS,141,Standard query response 0xac4c A buttons.github.io A 185.199.111.153 A 185.199.109.153 A 185.199.110.153 A 185.199.108.153
127,128,1.101508036,10.0.2.8,185.199.111.153,TCP,74,52970  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=893335525 TSecr=0 WS=128
128,129,1.105319542,185.199.111.153,10.0.2.8,TCP,60,"443  >  52970 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
129,130,1.105346229,10.0.2.8,185.199.111.153,TCP,54,52970  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
130,131,1.106570685,10.0.2.8,185.199.111.153,TLSv1.2,571,Client Hello
131,132,1.1119834690000001,185.199.111.153,10.0.2.8,TLSv1.2,1514,Server Hello
132,133,1.112010144,10.0.2.8,185.199.111.153,TCP,54,52970  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0
133,134,1.112369015,185.199.111.153,10.0.2.8,TCP,1258,"443  >  52970 [PSH, ACK] Seq=1461 Ack=518 Win=32251 Len=1204 [TCP segment of a reassembled PDU]"
134,135,1.112378316,10.0.2.8,185.199.111.153,TCP,54,52970  >  443 [ACK] Seq=518 Ack=2665 Win=62780 Len=0
135,136,1.112742333,185.199.111.153,10.0.2.8,TLSv1.2,1342,"Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
136,137,1.112751201,10.0.2.8,185.199.111.153,TCP,54,52970  >  443 [ACK] Seq=518 Ack=3953 Win=62780 Len=0
137,138,1.124079955,10.0.2.8,185.199.111.153,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
138,139,1.12452219,10.0.2.8,185.199.111.153,TLSv1.2,231,Application Data
139,140,1.1245448390000001,10.0.2.8,185.199.111.153,TLSv1.2,264,Application Data
140,141,1.124940512,185.199.111.153,10.0.2.8,TCP,60,443  >  52970 [ACK] Seq=3953 Ack=788 Win=31981 Len=0
141,142,1.126587955,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=28601 Win=62780 Len=0
142,143,1.128706861,185.199.111.153,10.0.2.8,TLSv1.2,378,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data"
143,144,1.1287223290000001,10.0.2.8,185.199.111.153,TCP,54,52970  >  443 [ACK] Seq=998 Ack=4277 Win=62780 Len=0
144,145,1.12919494,10.0.2.8,185.199.111.153,TLSv1.2,92,Application Data
145,146,1.130063725,185.199.111.153,10.0.2.8,TLSv1.2,5894,"Application Data, Application Data, Application Data, Application Data"
146,147,1.130073995,10.0.2.8,185.199.111.153,TCP,54,52970  >  443 [ACK] Seq=1036 Ack=10117 Win=61320 Len=0
147,148,1.130425283,185.199.111.153,10.0.2.8,TLSv1.2,641,Application Data
148,149,1.130431125,10.0.2.8,185.199.111.153,TCP,54,52970  >  443 [ACK] Seq=1036 Ack=10704 Win=60733 Len=0
149,150,1.163707412,104.22.27.77,10.0.2.8,TLSv1.3,7354,Application Data
150,151,1.163776427,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=35901 Win=59860 Len=0
151,152,1.164052004,104.22.27.77,10.0.2.8,TLSv1.3,1027,Application Data
152,153,1.164214956,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=36874 Win=62780 Len=0
153,154,1.165445395,104.22.27.77,10.0.2.8,TLSv1.3,85,Application Data
154,155,1.165555385,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=36905 Win=62780 Len=0
155,156,1.227921463,104.22.27.77,10.0.2.8,TLSv1.3,1054,"Application Data, Application Data"
156,157,1.228362133,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=37905 Win=62780 Len=0
157,158,1.235262991,104.22.27.77,10.0.2.8,TCP,1514,443  >  55694 [ACK] Seq=37905 Ack=2231 Win=32121 Len=1460 [TCP segment of a reassembled PDU]
158,159,1.2419214170000001,104.22.27.77,10.0.2.8,TLSv1.3,1514,"Application Data, Application Data"
159,160,1.241921468,104.22.27.77,10.0.2.8,TLSv1.3,8814,"Application Data, Application Data"
160,161,1.241952038,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=40825 Win=62780 Len=0
161,162,1.2422349940000001,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=49585 Win=58400 Len=0
162,163,1.242574107,104.22.27.77,10.0.2.8,TCP,1492,"443  >  55694 [PSH, ACK] Seq=49585 Ack=2231 Win=32121 Len=1438 [TCP segment of a reassembled PDU]"
163,164,1.242839471,104.22.27.77,10.0.2.8,TLSv1.3,8814,"Application Data, Application Data"
164,165,1.242900412,104.22.27.77,10.0.2.8,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU]
165,166,1.242900453,104.22.27.77,10.0.2.8,TCP,1514,443  >  55694 [ACK] Seq=61243 Ack=2231 Win=32121 Len=1460 [TCP segment of a reassembled PDU]
166,167,1.242960071,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=62703 Win=49640 Len=0
167,168,1.243219653,104.22.27.77,10.0.2.8,TCP,1127,"443  >  55694 [PSH, ACK] Seq=62703 Ack=2231 Win=32121 Len=1073 [TCP segment of a reassembled PDU]"
168,169,1.2433035129999999,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=63776 Win=62780 Len=0
169,170,1.244618334,104.22.27.77,10.0.2.8,TLSv1.3,4434,Application Data [TCP segment of a reassembled PDU]
170,171,1.24468401,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=68156 Win=62780 Len=0
171,172,1.245102333,104.22.27.77,10.0.2.8,TLSv1.3,276,"Application Data, Application Data"
172,173,1.2451089290000001,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=68378 Win=65535 Len=0
173,174,1.251920477,104.22.27.77,10.0.2.8,TLSv1.3,16114,"Application Data, Application Data, Application Data, Application Data, Application Data"
174,175,1.251920513,104.22.27.77,10.0.2.8,TLSv1.3,11734,"Application Data, Application Data, Application Data"
175,176,1.251954383,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=84438 Win=65535 Len=0
176,177,1.251994074,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=96118 Win=65535 Len=0
177,178,1.252348745,104.22.27.77,10.0.2.8,TCP,846,"443  >  55694 [PSH, ACK] Seq=96118 Ack=2231 Win=32121 Len=792 [TCP segment of a reassembled PDU]"
178,179,1.25235383,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=96910 Win=65535 Len=0
179,180,1.253985182,104.22.27.77,10.0.2.8,TLSv1.3,17574,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
180,181,1.253985245,104.22.27.77,10.0.2.8,TCP,1514,443  >  55694 [ACK] Seq=114430 Ack=2231 Win=32121 Len=1460 [TCP segment of a reassembled PDU]
181,182,1.254004543,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=114430 Win=65535 Len=0
182,183,1.254018798,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=115890 Win=65535 Len=0
183,184,1.254396226,104.22.27.77,10.0.2.8,TCP,766,"443  >  55694 [PSH, ACK] Seq=115890 Ack=2231 Win=32121 Len=712 [TCP segment of a reassembled PDU]"
184,185,1.254402587,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=116602 Win=65535 Len=0
185,186,1.25658083,104.22.27.77,10.0.2.8,TLSv1.3,8814,"Application Data, Application Data, Application Data, Application Data, Application Data"
186,187,1.256623037,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=125362 Win=65535 Len=0
187,188,1.256901421,104.22.27.77,10.0.2.8,TLSv1.3,1510,Application Data
188,189,1.256907612,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=126818 Win=65535 Len=0
189,190,1.258235268,104.22.27.77,10.0.2.8,TLSv1.3,8814,"Application Data, Application Data"
190,191,1.2582835140000002,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=135578 Win=65535 Len=0
191,192,1.258885121,104.22.27.77,10.0.2.8,TLSv1.3,10274,Application Data [TCP segment of a reassembled PDU]
192,193,1.258932894,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=145798 Win=65535 Len=0
193,194,1.259101705,104.22.27.77,10.0.2.8,TCP,2974,"443  >  55694 [PSH, ACK] Seq=145798 Ack=2231 Win=32121 Len=2920 [TCP segment of a reassembled PDU]"
194,195,1.259107827,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=148718 Win=65535 Len=0
195,196,1.2600277990000002,104.22.27.77,10.0.2.8,TLSv1.3,4434,Application Data [TCP segment of a reassembled PDU]
196,197,1.260060412,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=153098 Win=65535 Len=0
197,198,1.2604426420000001,104.22.27.77,10.0.2.8,TLSv1.3,82,Application Data
198,199,1.2605606390000001,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2231 Ack=153126 Win=65535 Len=0
199,200,1.369935479,10.0.2.8,104.22.27.77,TLSv1.3,242,Application Data
200,201,1.372629392,10.0.2.8,104.22.27.77,TLSv1.3,139,Application Data
201,202,1.3730251009999999,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=153126 Ack=2504 Win=31848 Len=0
202,203,1.38033372,10.0.2.8,104.22.27.77,TLSv1.3,140,Application Data
203,204,1.3942130780000002,10.0.2.8,104.22.27.77,TLSv1.3,138,Application Data
204,205,1.3947156859999998,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=153126 Ack=2674 Win=31678 Len=0
205,206,1.395324376,10.0.2.8,104.22.27.77,TLSv1.3,142,Application Data
206,207,1.412005282,10.0.2.8,80.58.61.250,DNS,78,Standard query 0x6ee7 A browser-update.org
207,208,1.4120320869999998,10.0.2.8,80.58.61.250,DNS,78,Standard query 0xd2e2 AAAA browser-update.org
208,209,1.416903964,10.0.2.8,80.58.61.250,DNS,74,Standard query 0x7310 A api.github.com
209,210,1.41694677,10.0.2.8,80.58.61.250,DNS,74,Standard query 0x0a12 AAAA api.github.com
210,211,1.4192408319999998,80.58.61.250,10.0.2.8,DNS,110,Standard query response 0x6ee7 A browser-update.org A 172.64.108.7 A 172.64.109.7
211,212,1.422529095,80.58.61.250,10.0.2.8,DNS,134,Standard query response 0xd2e2 AAAA browser-update.org AAAA 2606:4700:e0::ac40:6d07 AAAA 2606:4700:e0::ac40:6c07
212,213,1.422529144,80.58.61.250,10.0.2.8,DNS,227,Standard query response 0x7310 A api.github.com A 140.82.118.5 NS ns-1283.awsdns-32.org NS ns-1707.awsdns-21.co.uk NS ns-421.awsdns-52.com NS ns-520.awsdns-01.net
213,214,1.423076837,104.22.27.77,10.0.2.8,TCP,11734,"443  >  55694 [PSH, ACK] Seq=153126 Ack=2762 Win=31590 Len=11680 [TCP segment of a reassembled PDU]"
214,215,1.4230768980000001,80.58.61.250,10.0.2.8,DNS,158,Standard query response 0x0a12 AAAA api.github.com SOA ns-1707.awsdns-21.co.uk
215,216,1.4230948140000002,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=2762 Ack=164806 Win=65535 Len=0
216,217,1.423215949,10.0.2.8,172.64.108.7,TCP,74,34328  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1323572058 TSecr=0 WS=128
217,218,1.423559913,10.0.2.8,140.82.118.5,TCP,74,34664  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2723182409 TSecr=0 WS=128
218,219,1.432126686,104.22.27.77,10.0.2.8,TLSv1.3,23414,"Application Data, Application Data"
219,220,1.4321267309999999,104.22.27.77,10.0.2.8,TLSv1.3,21954,Application Data [TCP segment of a reassembled PDU]
