;Plugin ID;CVE;CVSS;Risk;Host;Protocol;Port;Name;Synopsis;Description;Solution;See Also;Plugin Output;STIG Severity;CVSS v3.0 Base Score;CVSS Temporal Score;CVSS v3.0 Temporal Score;Risk Factor;BID;XREF;MSKB;Plugin Publication Date;Plugin Modification Date;Metasploit;Core Impact;CANVAS
164;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
165;UUID : 0767a036-0d22-48aa-ba69-b619480f38cb; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
166;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
167;Annotation : PcaSvc;;;;;;;;;;;;;;;;;;;;;;;;;
168;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
169;Named pipe : OLEFBC3B5F0528B45B1A0ACB5415BC8;;;;;;;;;;;;;;;;;;;;;;;;;
170;;;;;;;;;;;;;;;;;;;;;;;;;;
171;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
172;UUID : 0767a036-0d22-48aa-ba69-b619480f38cb; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
173;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
174;Annotation : PcaSvc;;;;;;;;;;;;;;;;;;;;;;;;;
175;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
176;Named pipe : trkwks;;;;;;;;;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;;;;;;;;;;;;;
178;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
179;UUID : dd490425-5325-4565-b774-7e27d6c09c24; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
180;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
181;Annotation : Base Firewall Engine API;;;;;;;;;;;;;;;;;;;;;;;;;
182;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
183;Named pipe : LRPC-54e2a1d72a9f326c2c;;;;;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;;;;;;;;;;;
185;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
186;UUID : 7f9d11bf-7fb9-436b-a812-b2d50c5d4c03; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
187;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
188;Annotation : Fw APIs;;;;;;;;;;;;;;;;;;;;;;;;;
189;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
190;Named pipe : LRPC-54e2a1d72a9f326c2c;;;;;;;;;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;;;;;;;;;;;;;
192;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
193;UUID : 2fb92682-6599-42dc-ae13-bd2ca89bd11c; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
194;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
195;Annotation : Fw APIs;;;;;;;;;;;;;;;;;;;;;;;;;
196;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
197;Named pipe : LRPC-54e2a1d72a9f326c2c;;;;;;;;;;;;;;;;;;;;;;;;;
198;;;;;;;;;;;;;;;;;;;;;;;;;;
199;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
200;UUID : 0b6edbfa-4a24-4fc6-8a23-942b1eca65d1; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
201;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
202;Annotation : Spooler function endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
203;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
204;Named pipe : spoolss;;;;;;;;;;;;;;;;;;;;;;;;;
205;;;;;;;;;;;;;;;;;;;;;;;;;;
206;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
207;UUID : ae33069b-a2a8-46ee-a235-ddfd339be281; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
208;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
209;Annotation : Spooler base remote object endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
210;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
211;Named pipe : spoolss;;;;;;;;;;;;;;;;;;;;;;;;;
212;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
214;UUID : 4a452661-8290-4b36-8fbe-7f4093a94978; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
215;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
216;Annotation : Spooler function endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
217;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
218;Named pipe : spoolss;;;;;;;;;;;;;;;;;;;;;;;;;
219;;;;;;;;;;;;;;;;;;;;;;;;;;
220;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
221;UUID : 7ea70bcf-48af-4f6a-8968-6a440754d5fa; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
222;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
223;Annotation : NSI server endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
224;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
225;Named pipe : OLE4850C6656C3E4982A8171AFA34A2;;;;;;;;;;;;;;;;;;;;;;;;;
226;;;;;;;;;;;;;;;;;;;;;;;;;;
227;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
228;UUID : 7ea70bcf-48af-4f6a-8968-6a440754d5fa; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
229;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
230;Annotation : NSI server endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
231;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
232;Named pipe : LRPC-62ececadaca6fd3bcd;;;;;;;;;;;;;;;;;;;;;;;;;
233;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
235;UUID : 3473dd4d-2e88-4006-9cba-22570909dd10; version 5.0;;;;;;;;;;;;;;;;;;;;;;;;
236;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
237;Annotation : WinHttp Auto-Proxy Service;;;;;;;;;;;;;;;;;;;;;;;;;
238;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
239;Named pipe : OLE4850C6656C3E4982A8171AFA34A2;;;;;;;;;;;;;;;;;;;;;;;;;
240;;;;;;;;;;;;;;;;;;;;;;;;;;
241;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
242;UUID : 3473dd4d-2e88-4006-9cba-22570909dd10; version 5.0;;;;;;;;;;;;;;;;;;;;;;;;
243;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
244;Annotation : WinHttp Auto-Proxy Service;;;;;;;;;;;;;;;;;;;;;;;;;
245;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
246;Named pipe : LRPC-62ececadaca6fd3bcd;;;;;;;;;;;;;;;;;;;;;;;;;
247;;;;;;;;;;;;;;;;;;;;;;;;;;
248;Object UUID : 666f7270-6c69-7365-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
249;UUID : c9ac6db5-82b7-4e55-ae8a-e464ed7b4277; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
250;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
251;Annotation : Impl friendly name;;;;;;;;;;;;;;;;;;;;;;;;;
252;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
253;Named pipe : IUserProfile2;;;;;;;;;;;;;;;;;;;;;;;;;
254;;;;;;;;;;;;;;;;;;;;;;;;;;
255;Object UUID : 6c637067-6569-746e-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
256;UUID : c9ac6db5-82b7-4e55-ae8a-e464ed7b4277; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
257;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
258;Annotation : Impl friendly name;;;;;;;;;;;;;;;;;;;;;;;;;
259;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
260;Named pipe : IUserProfile2;;;;;;;;;;;;;;;;;;;;;;;;;
261;;;;;;;;;;;;;;;;;;;;;;;;;;
262;Object UUID : 6c637067-6569-746e-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
263;UUID : c9ac6db5-82b7-4e55-ae8a-e464ed7b4277; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
264;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
265;Annotation : Impl friendly name;;;;;;;;;;;;;;;;;;;;;;;;;
266;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
267;Named pipe : OLEA10B4828A8FE41F1ABC06E2333C1;;;;;;;;;;;;;;;;;;;;;;;;;
268;;;;;;;;;;;;;;;;;;;;;;;;;;
269;Object UUID : 24d1f7c7-76af-4f28-9ccd-7f6cb6468601;;;;;;;;;;;;;;;;;;;;;;;;;
270;UUID : 2eb08e3e-639f-4fba-97b1-14f878961076; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
271;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
272;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
273;Named pipe : IUserProfile2;;;;;;;;;;;;;;;;;;;;;;;;;
274;;;;;;;;;;;;;;;;;;;;;;;;;;
275;Object UUID : 24d1f7c7-76af-4f28-9ccd-7f6cb6468601;;;;;;;;;;;;;;;;;;;;;;;;;
276;UUID : 2eb08e3e-639f-4fba-97b1-14f878961076; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
277;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
278;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
279;Named pipe : OLEA10B4828A8FE41F1ABC06E2333C1;;;;;;;;;;;;;;;;;;;;;;;;;
280;;;;;;;;;;;;;;;;;;;;;;;;;;
281;Object UUID : 736e6573-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
282;UUID : c9ac6db5-82b7-4e55-ae8a-e464ed7b4277; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
283;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
284;Annotation : Impl friendly name;;;;;;;;;;;;;;;;;;;;;;;;;
285;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
286;Named pipe : IUserProfile2;;;;;;;;;;;;;;;;;;;;;;;;;
287;;;;;;;;;;;;;;;;;;;;;;;;;;
288;Object UUID : 736e6573-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
289;UUID : c9ac6db5-82b7-4e55-ae8a-e464ed7b4277; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
290;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
291;Annotation : Impl friendly name;;;;;;;;;;;;;;;;;;;;;;;;;
292;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
293;Named pipe : OLEA10B4828A8FE41F1ABC06E2333C1;;;;;;;;;;;;;;;;;;;;;;;;;
294;;;;;;;;;;;;;;;;;;;;;;;;;;
295;Object UUID : 736e6573-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
296;UUID : c9ac6db5-82b7-4e55-ae8a-e464ed7b4277; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
297;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
298;Annotation : Impl friendly name;;;;;;;;;;;;;;;;;;;;;;;;;
299;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
300;Named pipe : senssvc;;;;;;;;;;;;;;;;;;;;;;;;;
301;;;;;;;;;;;;;;;;;;;;;;;;;;
302;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
