;Plugin ID;CVE;CVSS;Risk;Host;Protocol;Port;Name;Synopsis;Description;Solution;See Also;Plugin Output;STIG Severity;CVSS v3.0 Base Score;CVSS Temporal Score;CVSS v3.0 Temporal Score;Risk Factor;BID;XREF;MSKB;Plugin Publication Date;Plugin Modification Date;Metasploit;Core Impact;CANVAS
24;"Apache/2.2.8 (Ubuntu) DAV/2""";;;;;None;;;;04/01/2000;12/06/2020;;;;;;;;;;;;;;;
25;10107;;;None;10.0.2.6;tcp;8180;HTTP Server Type and Version;A web server is running on the remote host.;This plugin attempts to determine the type and the version of the;;;;;;;;;;;;;;;;
26;"  remote web server.""";;;The remote web server type is :;;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;;;;;;;;;;
28;"Apache-Coyote/1.1""";;;;;None;;;;04/01/2000;12/06/2020;;;;;;;;;;;;;;;
29;10114;CVE-1999-0524;0.0;None;10.0.2.6;icmp;0;ICMP Timestamp Request Remote Date Disclosure;It is possible to determine the exact time set on the remote host.;The remote host answers to an ICMP timestamp request.  This allows an;;;;;;;;;;;;;;;;
30;attacker to know the date that is set on the targeted machine; which;;;;;;;;;;;;;;;;;;;;;;;;
31;may assist an unauthenticated; remote attacker in defeating time-based;;;;;;;;;;;;;;;;;;;;;;;;
32;authentication protocols.;;;;;;;;;;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Timestamps returned from machines running Windows Vista / 7 / 2008 /;;;;;;;;;;;;;;;;;;;;;;;;;
35;2008 R2 are deliberately incorrect; but usually within 1000 seconds of;;;;;;;;;;;;;;;;;;;;;;;;
36;"the actual system time.""";Filter out the ICMP timestamp requests (13), and the outgoing ICMP;;;;;;;;;;;;;;;;;;;;;;;;
37;"timestamp replies (14).""";;The difference between the local and remote clocks is 1 second.;;;;;;;;;;;;;;;;;;;;;;;
38;;,0.0;;;None;;CWE:200;;01/08/1999;04/10/2019;;;;;;;;;;;;;;;;
39;10150;;;None;10.0.2.6;udp;137;Windows NetBIOS / SMB Remote Host Information Disclosure;It was possible to obtain the network name of the remote host.;The remote host is listening on UDP port 137 or TCP port 445, and;;;;;;;;;;;;;;;;
40;replies to NetBIOS nbtscan or SMB requests.;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Note that this plugin gathers information to be used in other plugins;;;;;;;;;;;;;;;;;;;;;;;;;
43;"but does not itself generate a report.""";;;The following 7 NetBIOS names have been gathered :;;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;;;;;;;;;;;;
45; METASPLOITABLE   = Computer name;;;;;;;;;;;;;;;;;;;;;;;;;
46; METASPLOITABLE   = Messenger Service;;;;;;;;;;;;;;;;;;;;;;;;;
47; METASPLOITABLE   = File Server Service;;;;;;;;;;;;;;;;;;;;;;;;;
48; __MSBROWSE__     = Master Browser;;;;;;;;;;;;;;;;;;;;;;;;;
49; WORKGROUP        = Workgroup / Domain name;;;;;;;;;;;;;;;;;;;;;;;;;
50; WORKGROUP        = Master Browser;;;;;;;;;;;;;;;;;;;;;;;;;
51; WORKGROUP        = Browser Service Elections;;;;;;;;;;;;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;;;;;;;;;;;;;
53;"This SMB server seems to be a Samba server - its MAC address is NULL.""";;;;;None;;;;12/10/1999;14/05/2020;;;;;;;;;;;;;;;
54;10203;CVE-1999-0618;10.0;Critical;10.0.2.6;tcp;512;rexecd Service Detection;The rexecd service is running on the remote host.;The rexecd service is running on the remote host. This service is;;;;;;;;;;;;;;;;
55;design to allow users of a network to execute commands remotely.;;;;;;;;;;;;;;;;;;;;;;;;;
56;However; rexecd does not provide any good means of authentication; so;;;;;;;;;;;;;;;;;;;;;;;
57;"it may be abused by an attacker to scan a third-party host.""";Comment out the 'exec' line in /etc/inetd.conf and restart the inetd;;;;;;;;;;;;;;;;;;;;;;;;
58;"process.""";;;;;;;Critical;;;;31/08/1999;13/08/2018;;;;;;;;;;;;;
59;10205;CVE-1999-0651;7.5;High;10.0.2.6;tcp;513;rlogin Service Detection;The rlogin service is running on the remote host.;The rlogin service is running on the remote host. This service is;;;;;;;;;;;;;;;;
60;vulnerable since data is passed between the rlogin client and server;;;;;;;;;;;;;;;;;;;;;;;;;
61;in cleartext. A man-in-the-middle attacker can exploit this to sniff;;;;;;;;;;;;;;;;;;;;;;;;;
62;logins and passwords. Also; it may allow poorly authenticated logins;;;;;;;;;;;;;;;;;;;;;;;;
63;without passwords. If the host is vulnerable to TCP sequence number;;;;;;;;;;;;;;;;;;;;;;;;;
64;guessing (from any network) or IP spoofing (including ARP hijacking on;;;;;;;;;;;;;;;;;;;;;;;;;
65;a local network) then it may be possible to bypass authentication.;;;;;;;;;;;;;;;;;;;;;;;;;
66;Finally; rlogin is an easy way to turn file-write access into full;;;;;;;;;;;;;;;;;;;;;;;;
67;"logins through the .rhosts or rhosts.equiv files.""";Comment out the 'login' line in /etc/inetd.conf and restart the inetd;;;;;;;;;;;;;;;;;;;;;;;;
68;process. Alternatively;" disable this service and use SSH instead.""";;;;;;;High;;;;30/08/1999;13/08/2018;true;;;;;;;;;;;
69;10223;CVE-1999-0632;0.0;None;10.0.2.6;udp;111;RPC portmapper Service Detection;An ONC RPC portmapper is running on the remote host.;The RPC portmapper is running on this port.;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;;;;;;;;;;;;;
71;The portmapper allows someone to get the port number of each RPC;;;;;;;;;;;;;;;;;;;;;;;;;
72;service running on the remote host by sending either multiple lookup;;;;;;;;;;;;;;;;;;;;;;;;;
73;"requests or a DUMP request.""";;;;;0.0;;;None;;;;19/08/1999;04/10/2019;;;;;;;;;;;;
74;10263;;;None;10.0.2.6;tcp;25;SMTP Server Detection;An SMTP server is listening on the remote port.;The remote host is running a mail (SMTP) server on this port. ;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Since SMTP servers are the targets of spammers; it is recommended you;;;;;;;;;;;;;;;;;;;;;;;;
77;"disable it if you do not use it.""";Disable this service if you do not use it, or filter incoming traffic;;;;;;;;;;;;;;;;;;;;;;;;
78;"to this port.""";;;;;;;;;;;;;;;;;;;;;;;;;
79;Remote SMTP server banner :;;;;;;;;;;;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;;;;;;;;;;
81;220 metasploitable.localdomain ESMTP Postfix (Ubuntu);;;;;;;;;;;;;;;;;;;;;;;;;
82;;,;,;"None""";;;;12/10/1999;22/11/2019;;;;;;;;;;;;;;;;;
83;10267;;;None;10.0.2.6;tcp;22;SSH Server Type and Version Information;An SSH server is listening on this port.;It is possible to obtain information about the remote SSH server by;;;;;;;;;;;;;;;;
84;"sending an empty authentication request.""";;;;;;;;;;;;;;;;;;;;;;;;;
85;SSH version : SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1;;;;;;;;;;;;;;;;;;;;;;;;;
86;SSH supported authentication : publickey;password;;;;;;;;;;;;;;;;;;;;;;;;
87;;,;,;"None""";;;;12/10/1999;12/06/2020;;;;;;;;;;;;;;;;;
88;10281;;;None;10.0.2.6;tcp;23;Telnet Server Detection;A Telnet server is listening on the remote port.;The remote host is running a Telnet server, a remote terminal;;;;;;;;;;;;;;;;
89;"server.""";Disable this service if you do not use it.;;Here is the banner from the remote Telnet server :;;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;;;;;
91;------------------------------ snip ------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;
92;                _                  _       _ _        _     _      ____  ;;;;;;;;;;;;;;;;;;;;;;;;;
93; _ __ ___   ___| |_ __ _ ___ _ __ | | ___ (_) |_ __ _| |__ | | ___|___ \ ;;;;;;;;;;;;;;;;;;;;;;;;;
94;| '_ ` _ \ / _ \ __/ _` / __| '_ \| |/ _ \| | __/ _` | '_ \| |/ _ \ __) |;;;;;;;;;;;;;;;;;;;;;;;;;
95;| | | | | |  __/ || (_| \__ \ |_) | | (_) | | || (_| | |_) | |  __// __/ ;;;;;;;;;;;;;;;;;;;;;;;;;
96;|_| |_| |_|\___|\__\__;_|___/ .__/|_|\___/|_|\__\__;_|_.__/|_|\___|_____|;;;;;;;;;;;;;;;;;;;;;;;
97;                            |_|                                          ;;;;;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Warning: Never expose this VM to an untrusted network!;;;;;;;;;;;;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Contact: msfdev[at]metasploit.com;;;;;;;;;;;;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Login with msfadmin/msfadmin to get started;;;;;;;;;;;;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;;;;;;;;;
107;metasploitable login: ;;;;;;;;;;;;;;;;;;;;;;;;;
108;------------------------------ snip ------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;
109;;,;,;"None""";;;;12/10/1999;12/06/2020;;;;;;;;;;;;;;;;;
110;10287;;;None;10.0.2.6;udp;0;Traceroute Information;It was possible to obtain traceroute information.;Makes a traceroute to the remote host.;;;For your information, here is the traceroute from 10.0.2.4 to 10.0.2.6 : ;;;;;;;;;;;;;
111;10.0.2.4;;;;;;;;;;;;;;;;;;;;;;;;;
112;10.0.2.6;;;;;;;;;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Hop Count: 1;;;;;;;;;;;;;;;;;;;;;;;;;
115;;,;,;"None""";;;;27/11/1999;06/03/2019;;;;;;;;;;;;;;;;;
116;10342;;;None;10.0.2.6;tcp;5900;VNC Software Detection;The remote host is running a remote display software (VNC).;The remote host is running VNC (Virtual Network Computing), which uses;;;;;;;;;;;;;;;;
117;the RFB (Remote Framebuffer) protocol to provide remote access to;;;;;;;;;;;;;;;;;;;;;;;;;
118;graphical user interfaces and thus permits a console on the remote;;;;;;;;;;;;;;;;;;;;;;;;;
119;"host to be displayed on another.""";Make sure use of this software is done in accordance with your;;;;;;;;;;;;;;;;;;;;;;;;
120;organization's security policy and filter incoming traffic to this;;;;;;;;;;;;;;;;;;;;;;;;;
121;"port.""";https://en.wikipedia.org/wiki/Vnc;;;;;;;;;;;;;;;;;;;;;;;;
122;The highest RFB protocol version supported by the server is :;;;;;;;;;;;;;;;;;;;;;;;;;
123;;;;;;;;;;;;;;;;;;;;;;;;;;
124;  3.3;;;;;;;;;;;;;;;;;;;;;;;;;
125;;,;,;"None""";;;;07/03/2000;12/06/2017;;;;;;;;;;;;;;;;;
126;10394;;;None;10.0.2.6;tcp;445;Microsoft Windows SMB Log In Possible;It was possible to log into the remote host.;The remote host is running a Microsoft Windows operating system or;;;;;;;;;;;;;;;;
127;Samba; a CIFS/SMB server for Unix. It was possible to log into it;;;;;;;;;;;;;;;;;;;;;;;;
128;using one of the following accounts :;;;;;;;;;;;;;;;;;;;;;;;;;
129;;;;;;;;;;;;;;;;;;;;;;;;;;
130;#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;;
131;#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;;
132;"- Supplied credentials""";;http://www.nessus.org/u?5c2589f6;;;;;;;;;;;;;;;;;;;;;;;
133;"https://support.microsoft.com/en-us/help/246261""";#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;
134;;,;,;"None""";;;;09/05/2000;09/03/2020;;;;;;;;;;;;;;;;;
135;10397;;;None;10.0.2.6;tcp;445;Microsoft Windows SMB LanMan Pipe Server Listing Disclosure;It is possible to obtain network information.;It was possible to obtain the browse list of the remote Windows system;;;;;;;;;;;;;;;;
136;by sending a request to the LANMAN pipe. The browse list is the list;;;;;;;;;;;;;;;;;;;;;;;;;
137;"of the nearest Windows systems of the remote host.""";;;;;;;;;;;;;;;;;;;;;;;;;
138;Here is the browse list of the remote host : ;;;;;;;;;;;;;;;;;;;;;;;;;
139;;;;;;;;;;;;;;;;;;;;;;;;;;
140;METASPLOITABLE ( os : 0.0 );;;;;;;;;;;;;;;;;;;;;;;;;
141;;,;,;"None""";;;;09/05/2000;22/11/2019;;;;;;;;;;;;;;;;;
142;10407;;2.6;Low;10.0.2.6;tcp;6000;X Server Detection;An X11 server is listening on the remote host;The remote host is running an X11 server.  X11 is a client-server;;;;;;;;;;;;;;;;
143;protocol that can be used to display graphical applications running on;;;;;;;;;;;;;;;;;;;;;;;;;
144;a given host on a remote client. ;;;;;;;;;;;;;;;;;;;;;;;;;
145;;;;;;;;;;;;;;;;;;;;;;;;;;
146;Since the X11 traffic is not ciphered; it is possible for an attacker;;;;;;;;;;;;;;;;;;;;;;;;
147;"to eavesdrop on the connection.""";Restrict access to this port. If the X11 client/server facility is not;;;;;;;;;;;;;;;;;;;;;;;;
148;used;" disable TCP support in X11 entirely (-nolisten tcp).""";;;;;;;;;;;;;;;;;;;;;;;;
149;X11 Version : 11.0;;;;;;;;;;;;;;;;;;;;;;;;;
150;;,;,;"Low""";;;;12/05/2000;05/03/2019;;;;;;;;;;;;;;;;;
151;10437;;;None;10.0.2.6;tcp;2049;NFS Share Export List;The remote NFS server exports a list of shares.;This plugin retrieves the list of NFS exported shares.;Ensure each share is intended to be exported.;http://www.tldp.org/HOWTO/NFS-HOWTO/security.html;;;;;;;;;;;;;;
152;Here is the export list of 10.0.2.6 :;;;;;;;;;;;;;;;;;;;;;;;;;
153;  ;;;;;;;;;;;;;;;;;;;;;;;;;
154;  / *;;;;;;;;;;;;;;;;;;;;;;;;;
155;;,;,;"None""";;;;07/06/2000;04/10/2019;;;;;;;;;;;;;;;;;
156;10719;;;None;10.0.2.6;tcp;3306;MySQL Server Detection;A database server is listening on the remote port.;The remote host is running MySQL, an open source database server.;;;;;;;;;;;;;;;;
157;Version  : 5.0.51a-3ubuntu5;;;;;;;;;;;;;;;;;;;;;;;;;
158;Protocol : 10;;;;;;;;;;;;;;;;;;;;;;;;;
159;Server Status : SERVER_STATUS_AUTOCOMMIT;;;;;;;;;;;;;;;;;;;;;;;;;
160;Server Capabilities : ;;;;;;;;;;;;;;;;;;;;;;;;;
161;  CLIENT_LONG_FLAG (Get all column flags);;;;;;;;;;;;;;;;;;;;;;;;;
162;  CLIENT_CONNECT_WITH_DB (One can specify db on connect);;;;;;;;;;;;;;;;;;;;;;;;;
163;  CLIENT_COMPRESS (Can use compression protocol);;;;;;;;;;;;;;;;;;;;;;;;;
164;  CLIENT_PROTOCOL_41 (New 4.1 protocol);;;;;;;;;;;;;;;;;;;;;;;;;
165;  CLIENT_SSL (Switch to SSL after handshake);;;;;;;;;;;;;;;;;;;;;;;;;
166;  CLIENT_TRANSACTIONS (Client knows about transactions);;;;;;;;;;;;;;;;;;;;;;;;;
167;  CLIENT_SECURE_CONNECTION (New 4.1 authentication);;;;;;;;;;;;;;;;;;;;;;;;;
168;;,;,;"None""";;;;13/08/2001;22/11/2019;;;;;;;;;;;;;;;;;
169;10785;;;None;10.0.2.6;tcp;445;Microsoft Windows SMB NativeLanManager Remote System Information Disclosure;It was possible to obtain information about the remote operating;;;;;;;;;;;;;;;;;
170;"system.""";Nessus was able to obtain the remote operating system name and version;;;;;;;;;;;;;;;;;;;;;;;;
171;(Windows and/or Samba) by sending an authentication request to port;;;;;;;;;;;;;;;;;;;;;;;;;
172;139 or 445. Note that this plugin requires SMB1 to be enabled on the;;;;;;;;;;;;;;;;;;;;;;;;;
173;"host.""";;;The remote Operating System is : Unix;;;;;;;;;;;;;;;;;;;;;;
174;The remote native LAN manager is : Samba 3.0.20-Debian;;;;;;;;;;;;;;;;;;;;;;;;;
175;The remote SMB Domain Name is : METASPLOITABLE;;;;;;;;;;;;;;;;;;;;;;;;;
176;;,;,;"None""";;;;17/10/2001;22/01/2020;;;;;;;;;;;;;;;;;
177;10863;;;None;10.0.2.6;tcp;25;SSL Certificate Information;This plugin displays the SSL certificate.;This plugin connects to every SSL-related port and attempts to ;;;;;;;;;;;;;;;;
178;"extract and dump the X.509 certificate.""";;;Subject Name: ;;;;;;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;;;;;;;;;;;;;
180;Country: XX;;;;;;;;;;;;;;;;;;;;;;;;;
181;State/Province: There is no such thing outside US;;;;;;;;;;;;;;;;;;;;;;;;;
182;Locality: Everywhere;;;;;;;;;;;;;;;;;;;;;;;;;
183;Organization: OCOSA;;;;;;;;;;;;;;;;;;;;;;;;;
184;Organization Unit: Office for Complication of Otherwise Simple Affairs;;;;;;;;;;;;;;;;;;;;;;;;;
185;Common Name: ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
186;Email Address: root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
187;;;;;;;;;;;;;;;;;;;;;;;;;;
188;Issuer Name: ;;;;;;;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;;;;;;;;;;;;;;;
190;Country: XX;;;;;;;;;;;;;;;;;;;;;;;;;
191;State/Province: There is no such thing outside US;;;;;;;;;;;;;;;;;;;;;;;;;
192;Locality: Everywhere;;;;;;;;;;;;;;;;;;;;;;;;;
193;Organization: OCOSA;;;;;;;;;;;;;;;;;;;;;;;;;
194;Organization Unit: Office for Complication of Otherwise Simple Affairs;;;;;;;;;;;;;;;;;;;;;;;;;
195;Common Name: ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
196;Email Address: root@ubuntu804-base.localdomain;;;;;;;;;;;;;;;;;;;;;;;;;
197;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Serial Number: 00 FA F9 3A 4C 7F B6 B9 CC ;;;;;;;;;;;;;;;;;;;;;;;;;
199;;;;;;;;;;;;;;;;;;;;;;;;;;
200;Version: 1;;;;;;;;;;;;;;;;;;;;;;;;;
201;;;;;;;;;;;;;;;;;;;;;;;;;;
202;Signature Algorithm: SHA-1 With RSA Encryption;;;;;;;;;;;;;;;;;;;;;;;;;
203;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Not Valid Before: Mar 17 14:07:45 2010 GMT;;;;;;;;;;;;;;;;;;;;;;;;;
205;Not Valid After: Apr 16 14:07:45 2010 GMT;;;;;;;;;;;;;;;;;;;;;;;;;
206;;;;;;;;;;;;;;;;;;;;;;;;;;
207;Public Key Info: ;;;;;;;;;;;;;;;;;;;;;;;;;
208;;;;;;;;;;;;;;;;;;;;;;;;;;
209;Algorithm: RSA Encryption;;;;;;;;;;;;;;;;;;;;;;;;;
210;Key Length: 1024 bits;;;;;;;;;;;;;;;;;;;;;;;;;
211;Public Key: 00 D6 B4 13 36 33 9A 95 71 7B 1B DE 7C 83 75 DA 71 B1 3C A9 ;;;;;;;;;;;;;;;;;;;;;;;;;
212;            7F FE AD 64 1B 77 E9 4F AE BE CA D4 F8 CB EF AE BB 43 79 24 ;;;;;;;;;;;;;;;;;;;;;;;;;
213;            73 FF 3C E5 9E 3B 6D FC C8 B1 AC FA 4C 4D 5E 9B 4C 99 54 0B ;;;;;;;;;;;;;;;;;;;;;;;;;
214;            D7 A8 4A 50 BA A9 DE 1D 1F F4 E4 6B 02 A3 F4 6B 45 CD 4C AF ;;;;;;;;;;;;;;;;;;;;;;;;;
215;            8D 89 62 33 8F 65 BB 36 61 9F C4 2C 73 C1 4E 2E A0 A8 14 4E ;;;;;;;;;;;;;;;;;;;;;;;;;
216;            98 70 46 61 BB D1 B9 31 DF 8C 99 EE 75 6B 79 3C 40 A0 AE 97 ;;;;;;;;;;;;;;;;;;;;;;;;;
217;            00 90 9D DC 99 0D 33 A4 B5 ;;;;;;;;;;;;;;;;;;;;;;;;;
218;Exponent: 01 00 01 ;;;;;;;;;;;;;;;;;;;;;;;;;
219;;;;;;;;;;;;;;;;;;;;;;;;;;
220;Signature Length: 128 bytes / 1024 bits;;;;;;;;;;;;;;;;;;;;;;;;;
221;Signature: 00 92 A4 B4 B8 14 55 63 25 51 4A 0B C3 2A 22 CF 3A F8 17 6A ;;;;;;;;;;;;;;;;;;;;;;;;;
222;           0C CF 66 AA A7 65 2F 48 6D CD E3 3E 5C 9F 77 6C D4 44 54 1F ;;;;;;;;;;;;;;;;;;;;;;;;;
223;           1E 84 4F 8E D4 8D DD AC 2D 88 09 21 A8 DA 56 2C A9 05 3C 49 ;;;;;;;;;;;;;;;;;;;;;;;;;
224;           68 35 19 75 0C DA 53 23 88 88 19 2D 74 26 C1 22 65 EE 11 68 ;;;;;;;;;;;;;;;;;;;;;;;;;
225;           83 6A 53 4A 9C 27 CB A0 B4 E9 8D 29 0C B2 3C 18 5C 67 CC 53 ;;;;;;;;;;;;;;;;;;;;;;;;;
226;           A6 1E 30 D0 AA 26 7B 1E AE 40 B9 29 01 6C 2E BC A2 19 94 7C ;;;;;;;;;;;;;;;;;;;;;;;;;
227;           15 6E 8D 30 38 F6 CA 2E 75 ;;;;;;;;;;;;;;;;;;;;;;;;;
228;;;;;;;;;;;;;;;;;;;;;;;;;;
229;Fingerprints : ;;;;;;;;;;;;;;;;;;;;;;;;;
230;;;;;;;;;;;;;;;;;;;;;;;;;;
231;SHA-256 Fingerprint: E7 A7 FA 0D 63 E4 57 C7 C4 A5 9B 38 B7 08 49 C6 A7 0B DA 6F ;;;;;;;;;;;;;;;;;;;;;;;;;
232;                     83 0C 7A F1 E3 2D EE 43 6D E8 13 CC ;;;;;;;;;;;;;;;;;;;;;;;;;
233;SHA-1 Fingerprint: ED 09 30 88 70 66 03 BF D5 DC 23 73 99 B4 98 DA 2D 4D 31 C6 ;;;;;;;;;;;;;;;;;;;;;;;;;
234;MD5 Fingerprint: DC D9 AD 90 6C 8F 2F 73 74 AF 38 3B 25 40 88 28 ;;;;;;;;;;;;;;;;;;;;;;;;;
235;;;;;;;;;;;;;;;;;;;;;;;;;;
236;;;;;;;;;;;;;;;;;;;;;;;;;;
237;PEM certificate : ;;;;;;;;;;;;;;;;;;;;;;;;;
238;;;;;;;;;;;;;;;;;;;;;;;;;;
239;-----BEGIN CERTIFICATE-----;;;;;;;;;;;;;;;;;;;;;;;;;
240;MIIDWzCCAsQCCQD6+TpMf7a5zDANBgkqhkiG9w0BAQUFADCB8TELMAkGA1UEBhMCWFgxKjAoBgNVBAgTIVRoZXJlIGlzIG5vIHN1Y2ggdGhpbmcgb3V0c2lkZSBVUzETMBEGA1UEBxMKRXZlcnl3aGVyZTEOMAwGA1UEChMFT0NPU0ExPDA6BgNVBAsTM09mZmljZSBmb3IgQ29tcGxpY2F0aW9uIG9mIE90aGVyd2lzZSBTaW1wbGUgQWZmYWlyczEjMCEGA1UEAxMadWJ1bnR1ODA0LWJhc2UubG9jYWxkb21haW4xLjAsBgkqhkiG9w0BCQEWH3Jvb3RAdWJ1bnR1ODA0LWJhc2UubG9jYWxkb21haW4wHhcNMTAwMzE3MTQwNzQ1WhcNMTAwNDE2MTQwNzQ1WjCB8TELMAkGA1UEBhMCWFgxKjAoBgNVBAgTIVRoZXJlIGlzIG5vIHN1Y2ggdGhpbmcgb3V0c2lkZSBVUzETMBEGA1UEBxMKRXZlcnl3aGVyZTEOMAwGA1UEChMFT0NPU0ExPDA6BgNVBAsTM09mZmljZSBmb3IgQ29tcGxpY2F0aW9uIG9mIE90aGVyd2lzZSBTaW1wbGUgQWZmYWlyczEjMCEGA1UEAxMadWJ1bnR1ODA0LWJhc2UubG9jYWxkb21haW4xLjAsBgkqhkiG9w0BCQEWH3Jvb3RAdWJ1bnR1ODA0LWJhc2UubG9jYWxkb21haW4wgZ8wDQYJKoZIhvcNAQEBBQADgY0AMIGJAoGBANa0EzYzmpVxexvefIN12nGxPKl//q1kG3fpT66+ytT4y++uu0N5JHP/POWeO238yLGs+kxNXptMmVQL16hKULqp3h0f9ORrAqP0a0XNTK+NiWIzj2W7NmGfxCxzwU4uoKgUTphwRmG70bkx34yZ7nVreTxAoK6XAJCd3JkNM6S1AgMBAAEwDQYJKoZIhvcNAQEFBQADgYEAkqS0uBRVYyVRSgvDKiLPOvgXagzPZqqnZS9Ibc3jPlyfd2zURFQfHoRPjtSN3awtiAkhqNpWLKkFPEloNRl1DNpTI4iIGS10JsEiZe4RaINqU0qcJ8ugtOmNKQyyPBhcZ8xTph4w0Komex6uQLkpAWwuvKIZlHwVbo0wOPbKLnU=;;;;;;;;;;;;;;;;;;;;;;;;;
241;"-----END CERTIFICATE-----""";;;;;None;;;;19/05/2008;17/06/2020;;;;;;;;;;;;;;;
242;10863;;;None;10.0.2.6;tcp;5432;SSL Certificate Information;This plugin displays the SSL certificate.;This plugin connects to every SSL-related port and attempts to ;;;;;;;;;;;;;;;;
243;"extract and dump the X.509 certificate.""";;;Subject Name: ;;;;;;;;;;;;;;;;;;;;;;
244;;;;;;;;;;;;;;;;;;;;;;;;;;
245;Country: XX;;;;;;;;;;;;;;;;;;;;;;;;;
246;State/Province: There is no such thing outside US;;;;;;;;;;;;;;;;;;;;;;;;;
